site,block,plot,PD,PD_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,Green canopy cover(%),sample_date_anthesis,sp1,sp2,sp3,rye biomass (dry),weed biomass (dry),rye_kg,weed_kg
VT,1,101,9/12/22,1,80,9/29/22,72,4/6/23,NA,NA,NA,87.05,5/30/23,NA,NA,NA,330,0,13200,0
VT,1,102,9/12/22,1,25,9/29/22,20,4/6/23,NA,NA,NA,85.68,5/30/23,NA,NA,NA,325.15,0,13006,0
VT,1,103,9/12/22,1,0,9/29/22,0,4/6/23,NA,NA,NA,0.46,5/30/23,shepherd's purse,mouse ear chickweed,NA,0,26.2,0,1048
VT,1,104,9/12/22,1,105,9/29/22,103,4/6/23,NA,NA,NA,91.71,5/30/23,NA,NA,NA,417.1,0,16684,0
VT,1,105,9/12/22,1,15,9/29/22,21,4/6/23,NA,NA,NA,79.6,5/30/23,NA,NA,NA,305.9,0,12236,0
VT,1,106,9/12/22,1,50,9/29/22,47,4/6/23,NA,NA,NA,90.52,5/30/23,NA,NA,NA,335.79,0,13431.6,0
VT,1,107,9/19/22,1.5,0,10/4/22,0,4/6/23,mustard,broadleaf plantain,NA,1.27,5/30/23,shepherd's purse,NA,NA,0,41.2,0,1648
VT,1,108,9/19/22,1.5,15,10/4/22,5,4/6/23,NA,NA,NA,25.37,5/30/23,NA,NA,NA,171,0,6840,0
VT,1,109,9/19/22,1.5,50,10/4/22,41,4/6/23,NA,NA,NA,86.65,5/30/23,NA,NA,NA,396.54,0,15861.6,0
VT,1,110,9/19/22,1.5,80,10/4/22,67,4/6/23,NA,NA,NA,90.51,5/30/23,NA,NA,NA,312.32,0,12492.8,0
VT,1,111,9/19/22,1.5,105,10/4/22,57,4/6/23,NA,NA,NA,86.18,5/30/23,shepherd's purse,NA,NA,365.56,0.1,14622.4,4
VT,1,112,9/19/22,1.5,25,10/4/22,32,4/6/23,NA,NA,NA,69.49,5/30/23,mouse ear chickweed,NA,NA,362.73,0.4,14509.2,16
VT,1,113,9/24/22,2,80,10/10/22,76,4/6/23,NA,NA,NA,61.47,5/30/23,NA,NA,NA,227.32,0,9092.8,0
VT,1,114,9/24/22,2,15,10/10/22,7,4/6/23,NA,NA,NA,35.5,5/30/23,NA,NA,NA,135.71,0,5428.4,0
VT,1,115,9/24/22,2,0,10/10/22,0,4/6/23,buckhorn plantain,NA,NA,1.23,5/30/23,shepherd's purse,white campion,lambsquarters,0,26.5,0,1060
VT,1,116,9/24/22,2,25,10/10/22,12,4/6/23,NA,NA,NA,44.87,5/30/23,shepherd's purse,NA,NA,253.78,0.1,10151.2,4
VT,1,117,9/24/22,2,105,10/10/22,84,4/6/23,NA,NA,NA,72.85,5/30/23,NA,NA,NA,210.21,0,8408.4,0
VT,1,118,9/24/22,2,50,10/10/22,28,4/6/23,NA,NA,NA,61.08,5/30/23,NA,NA,NA,243.98,0,9759.2,0
VT,1,119,10/3/22,2.5,105,10/20/22,91,4/6/23,mustard,NA,NA,81.78,5/30/23,shepherd's purse,NA,NA,308.83,0.1,12353.2,4
VT,1,120,10/3/22,2.5,25,10/20/22,20,4/6/23,NA,NA,NA,44.89,5/30/23,NA,NA,NA,204.89,0,8195.6,0
VT,1,121,10/3/22,2.5,0,10/20/22,0,4/6/23,NA,NA,NA,0.16,5/30/23,shepherd's purse,NA,NA,0,40.5,0,1620
VT,1,122,10/3/22,2.5,15,10/20/22,17,4/6/23,NA,NA,NA,20.5,5/30/23,NA,NA,NA,146.01,0,5840.4,0
VT,1,123,10/3/22,2.5,80,10/20/22,54,4/6/23,NA,NA,NA,40.23,5/30/23,shepherd's purse,NA,NA,221.55,0.2,8862,8
VT,1,124,10/3/22,2.5,50,10/20/22,57,4/6/23,NA,NA,NA,37.46,5/30/23,NA,NA,NA,172.05,0,6882,0
VT,1,125,10/10/22,3,15,10/27/22,16,4/6/23,NA,NA,NA,17.38,5/30/23,NA,NA,NA,199.59,0,7983.6,0
VT,1,126,10/10/22,3,80,10/27/22,51,4/6/23,NA,NA,NA,36.83,5/30/23,NA,NA,NA,221.38,0,8855.2,0
VT,1,127,10/10/22,3,0,10/27/22,0,4/6/23,mustard,NA,NA,0.17,5/30/23,shepherd's purse,lambsquarters,NA,0,13.6,0,544
VT,1,128,10/10/22,3,50,10/27/22,40,4/6/23,NA,NA,NA,26.41,5/30/23,NA,NA,NA,147.75,0,5910,0
VT,1,129,10/10/22,3,105,10/27/22,44,4/6/23,NA,NA,NA,33.63,5/30/23,NA,NA,NA,133.5,0,5340,0
VT,1,130,10/10/22,3,25,10/27/22,13,4/6/23,NA,NA,NA,2.91,5/30/23,shepherd's purse,mouse ear chickweed,NA,78.03,1.6,3121.2,64
VT,2,201,9/12/22,1,105,9/29/22,78,4/6/23,NA,NA,NA,88.97,5/30/23,NA,NA,NA,470.53,0,18821.2,0
VT,2,202,9/12/22,1,50,9/29/22,56,4/6/23,NA,NA,NA,88.86,5/30/23,NA,NA,NA,306.95,0,12278,0
VT,2,203,9/12/22,1,80,9/29/22,65,4/6/23,NA,NA,NA,80.05,5/30/23,NA,NA,NA,226.06,0,9042.4,0
VT,2,204,9/12/22,1,0,9/29/22,0,4/6/23,mustard,broadleaf plantain,NA,3.5,5/30/23,shepherd's purse,field violet,NA,0,61.8,0,2472
VT,2,205,9/12/22,1,25,9/29/22,34,4/6/23,NA,NA,NA,84.58,5/30/23,NA,NA,NA,289.04,0,11561.6,0
VT,2,206,9/12/22,1,15,9/29/22,23,4/6/23,NA,NA,NA,80.41,5/30/23,shepherd's purse,NA,NA,291.2,0.3,11648,12
VT,2,207,9/19/22,1.5,15,10/4/22,9,4/6/23,NA,NA,NA,47.91,5/30/23,shepherd's purse,NA,NA,316.2,1.1,12648,44
VT,2,208,9/19/22,1.5,105,10/4/22,55,4/6/23,NA,NA,NA,71.4,5/30/23,shepherd's purse,wild pansy,NA,307.92,0.1,12316.8,4
VT,2,209,9/19/22,1.5,0,10/4/22,0,4/6/23,NA,NA,NA,0.41,5/30/23,shepherd's purse,lambsquarters,NA,0,30.1,0,1204
VT,2,210,9/19/22,1.5,50,10/4/22,47,4/6/23,NA,NA,NA,80.77,5/30/23,shepherd's purse,NA,NA,372.37,0.1,14894.8,4
VT,2,211,9/19/22,1.5,80,10/4/22,61,4/6/23,NA,NA,NA,82.81,5/30/23,shepherd's purse,NA,NA,328.91,0.1,13156.4,4
VT,2,212,9/19/22,1.5,25,10/4/22,48,4/6/23,NA,NA,NA,53.84,5/30/23,NA,NA,NA,295.46,0,11818.4,0
VT,2,213,9/24/22,2,15,10/10/22,11,4/6/23,NA,NA,NA,36.34,5/30/23,NA,NA,NA,194.39,0,7775.6,0
VT,2,214,9/24/22,2,0,10/10/22,0,4/6/23,NA,NA,NA,0.65,5/30/23,lambsquarters,shepherd's purse,NA,0,4.3,0,172
VT,2,215,9/24/22,2,25,10/10/22,26,4/6/23,NA,NA,NA,68.49,5/30/23,NA,NA,NA,327.9,0,13116,0
VT,2,216,9/24/22,2,105,10/10/22,82,4/6/23,NA,NA,NA,83.13,5/30/23,NA,NA,NA,281.6,0,11264,0
VT,2,217,9/24/22,2,50,10/10/22,38,4/6/23,NA,NA,NA,58.36,5/30/23,NA,NA,NA,272.97,0,10918.8,0
VT,2,218,9/24/22,2,80,10/10/22,75,4/6/23,NA,NA,NA,74.71,5/30/23,NA,NA,NA,260.21,0,10408.4,0
VT,2,219,10/3/22,2.5,105,10/20/22,103,4/6/23,NA,NA,NA,74.9,5/30/23,NA,NA,NA,297.64,0,11905.6,0
VT,2,220,10/3/22,2.5,80,10/20/22,58,4/6/23,NA,NA,NA,74.01,5/30/23,NA,NA,NA,357.47,0,14298.8,0
VT,2,221,10/3/22,2.5,50,10/20/22,35,4/6/23,NA,NA,NA,50.62,5/30/23,NA,NA,NA,249.47,0,9978.8,0
VT,2,222,10/3/22,2.5,0,10/20/22,0,4/6/23,NA,NA,NA,0.33,5/30/23,mouse ear chickweed,lambsquarters,NA,0,4.3,0,172
VT,2,223,10/3/22,2.5,15,10/20/22,19,4/6/23,NA,NA,NA,13.66,5/30/23,shepherd's purse,NA,NA,141.65,0,5666,0
VT,2,224,10/3/22,2.5,25,10/20/22,37,4/6/23,NA,NA,NA,30.8,5/30/23,NA,NA,NA,137.93,0,5517.2,0
VT,2,225,10/10/22,3,0,10/27/22,0,4/6/23,NA,NA,NA,0.35,5/30/23,shepherd's purse,lambsquarters,crabgrass,0,4.3,0,172
VT,2,226,10/10/22,3,25,10/27/22,20,4/6/23,NA,NA,NA,11.48,5/30/23,NA,NA,NA,170.57,0.2,6822.8,8
VT,2,227,10/10/22,3,15,10/27/22,11,4/6/23,NA,NA,NA,5.43,5/30/23,NA,NA,NA,126.91,0,5076.4,0
VT,2,228,10/10/22,3,105,10/27/22,78,4/6/23,NA,NA,NA,45.76,5/30/23,NA,NA,NA,293.49,0,11739.6,0
VT,2,229,10/10/22,3,80,10/27/22,53,4/6/23,NA,NA,NA,37.69,5/30/23,NA,NA,NA,320.6,0,12824,0
VT,2,230,10/10/22,3,50,10/27/22,44,4/6/23,NA,NA,NA,30.56,5/30/23,NA,NA,NA,219.66,0,8786.4,0
VT,3,301,9/12/22,1,0,9/29/22,0,4/6/23,NA,NA,NA,0.28,5/30/23,shepherd's purse,NA,NA,0,9.8,0,392
VT,3,302,9/12/22,1,15,9/29/22,10,4/6/23,NA,NA,NA,63.21,5/30/23,shepher'd purse,NA,NA,276.29,0.2,11051.6,8
VT,3,303,9/12/22,1,80,9/29/22,86,4/6/23,dandelion,NA,NA,85.09,5/30/23,shepher'd purse,NA,NA,319.41,0.1,12776.4,4
VT,3,304,9/12/22,1,105,9/29/22,80,4/6/23,NA,NA,NA,89.7,5/30/23,shepher'd purse,NA,NA,378.01,0.1,15120.4,4
VT,3,305,9/12/22,1,25,9/29/22,22,4/6/23,NA,NA,NA,78.89,5/30/23,shepher'd purse,annual bluegrass,NA,391.95,2.3,15678,92
VT,3,306,9/12/22,1,50,9/29/22,56,4/6/23,NA,NA,NA,82.3,5/30/23,NA,NA,NA,348.59,0,13943.6,0
VT,3,307,9/19/22,1.5,80,10/4/22,41,4/6/23,NA,NA,NA,64.94,5/30/23,NA,NA,NA,250.49,0,10019.6,0
VT,3,308,9/19/22,1.5,50,10/4/22,38,4/6/23,NA,NA,NA,66.12,5/30/23,NA,NA,NA,344.08,0,13763.2,0
VT,3,309,9/19/22,1.5,0,10/4/22,0,4/6/23,common chickweed,buckhorn plantain,mustard,7.35,5/30/23,shepherd's purse,mouse ear chickweed,NA,0,65.9,0,2636
VT,3,310,9/19/22,1.5,105,10/4/22,77,4/6/23,NA,NA,NA,85.64,5/30/23,shepherd's purse,NA,NA,361.84,0.9,14473.6,36
VT,3,311,9/19/22,1.5,25,10/4/22,22,4/6/23,mouseear chickweed,NA,NA,69.39,5/30/23,mouse ear chickweed,NA,NA,287.45,0.3,11498,12
VT,3,312,9/19/22,1.5,15,10/4/22,12,4/6/23,mouseear chickweed,NA,NA,30.96,5/30/23,shepherd's purse,mouse ear chickweed,NA,199.34,7.5,7973.6,300
VT,3,313,9/24/22,2,105,10/10/22,53,4/6/23,NA,NA,NA,49.59,5/30/23,NA,NA,NA,192,0,7680,0
VT,3,314,9/24/22,2,50,10/10/22,40,4/6/23,NA,NA,NA,54.85,5/30/23,NA,NA,NA,271.53,0,10861.2,0
VT,3,315,9/24/22,2,0,10/10/22,0,4/6/23,mustard,NA,NA,0.8,5/30/23,shepherd's purse,field horsetail,NA,0,33.1,0,1324
VT,3,316,9/24/22,2,15,10/10/22,16,4/6/23,NA,NA,NA,62.12,5/30/23,NA,NA,NA,300.78,0,12031.2,0
VT,3,317,9/24/22,2,80,10/10/22,50,4/6/23,NA,NA,NA,74.56,5/30/23,NA,NA,NA,290.31,0,11612.4,0
VT,3,318,9/24/22,2,25,10/10/22,15,4/6/23,NA,NA,NA,41.77,5/30/23,mouse ear chickweed,NA,NA,249.33,0.2,9973.2,8
VT,3,319,10/3/22,2.5,0,10/20/22,0,4/6/23,NA,NA,NA,0.32,5/30/23,lambsquarters,crabgrass,NA,0,-0.8,0,-32
VT,3,320,10/3/22,2.5,15,10/20/22,13,4/6/23,NA,NA,NA,27.85,5/30/23,NA,NA,NA,285.98,0,11439.2,0
VT,3,321,10/3/22,2.5,105,10/20/22,71,4/6/23,NA,NA,NA,72.08,5/30/23,NA,NA,NA,256.77,0,10270.8,0
VT,3,322,10/3/22,2.5,80,10/20/22,57,4/6/23,NA,NA,NA,59.14,5/30/23,shepherd's purse,NA,NA,323.33,0.1,12933.2,4
VT,3,323,10/3/22,2.5,25,10/20/22,13,4/6/23,NA,NA,NA,10.9,5/30/23,NA,NA,NA,141.05,0,5642,0
VT,3,324,10/3/22,2.5,50,10/20/22,32,4/6/23,NA,NA,NA,24.71,5/30/23,NA,NA,NA,134.43,0,5377.2,0
VT,3,325,10/10/22,3,105,10/27/22,37,4/6/23,NA,NA,NA,24.6,5/30/23,NA,NA,NA,156.39,0,6255.6,0
VT,3,326,10/10/22,3,50,10/27/22,35,4/6/23,NA,NA,NA,23.89,5/30/23,shepherd's purse,NA,NA,180.97,0.1,7238.8,4
VT,3,327,10/10/22,3,80,10/27/22,70,4/6/23,NA,NA,NA,46.97,5/30/23,NA,NA,NA,202.2,0,8088,0
VT,3,328,10/10/22,3,15,10/27/22,9,4/6/23,NA,NA,NA,9.36,5/30/23,shepherd's purse,NA,NA,199.48,0.1,7979.2,4
VT,3,329,10/10/22,3,0,10/27/22,0,4/6/23,NA,NA,NA,0.15,5/30/23,crabgrass,lambsquarters,white campion,0,4.1,0,164
VT,3,330,10/10/22,3,25,10/27/22,15,4/6/23,NA,NA,NA,11.46,5/30/23,NA,NA,NA,132.94,0,5317.6,0
VT,4,401,9/12/22,1,80,9/29/22,46,4/6/23,NA,NA,NA,83.08,5/30/23,NA,NA,NA,295.77,0,11830.8,0
VT,4,402,9/12/22,1,105,9/29/22,90,4/6/23,NA,NA,NA,82.11,5/30/23,NA,NA,NA,312.12,0,12484.8,0
VT,4,403,9/12/22,1,25,9/29/22,22,4/6/23,NA,NA,NA,74.83,5/30/23,shepherd's purse,NA,NA,237.89,0.02,9515.6,0.8
VT,4,404,9/12/22,1,0,9/29/22,0,4/6/23,mustard,NA,NA,0.91,5/30/23,shepherd's purse,mouse ear chickweed,sunflower,0,43.1,0,1724
VT,4,405,9/12/22,1,50,9/29/22,36,4/6/23,NA,NA,NA,90.6,5/30/23,NA,NA,NA,273.3,0,10932,0
VT,4,406,9/12/22,1,15,9/29/22,17,4/6/23,NA,NA,NA,71.88,5/30/23,NA,NA,NA,257.44,0,10297.6,0
VT,4,407,9/19/22,1.5,50,10/4/22,46,4/6/23,NA,NA,NA,82.67,5/30/23,shepherd's purse,NA,NA,321.15,0.1,12846,4
VT,4,408,9/19/22,1.5,0,10/4/22,0,4/6/23,NA,NA,NA,0.23,5/30/23,lambsquarters,shepherd's purse,mouse ear chickweed,0,5.2,0,208
VT,4,409,9/19/22,1.5,25,10/4/22,18,4/6/23,mustard,NA,NA,71,5/30/23,NA,NA,NA,374.81,0.3,14992.4,12
VT,4,410,9/19/22,1.5,105,10/4/22,71,4/6/23,NA,NA,NA,74.41,5/30/23,shepherd's purse,NA,NA,240.34,0.1,9613.6,4
VT,4,411,9/19/22,1.5,15,10/4/22,10,4/6/23,mustard,NA,NA,48.5,5/30/23,dandelion,mouse ear chickweed,,194.13,0.1,7765.2,4
VT,4,412,9/19/22,1.5,80,10/4/22,68,4/6/23,NA,NA,NA,70.03,5/30/23,NA,NA,NA,291.4,0,11656,0
VT,4,413,9/24/22,2,15,10/10/22,16,4/6/23,NA,NA,NA,43.72,5/30/23,NA,NA,NA,126.87,0,5074.8,0
VT,4,414,9/24/22,2,50,10/10/22,37,4/6/23,NA,NA,NA,73.7,5/30/23,NA,NA,NA,432.89,0,17315.6,0
VT,4,415,9/24/22,2,80,10/10/22,68,4/6/23,NA,NA,NA,85.6,5/30/23,NA,NA,NA,266.69,0,10667.6,0
VT,4,416,9/24/22,2,25,10/10/22,30,4/6/23,NA,NA,NA,73.95,5/30/23,shepherd's purse,NA,NA,449.55,0.9,17982,36
VT,4,417,9/24/22,2,105,10/10/22,61,4/6/23,NA,NA,NA,73.8,5/30/23,NA,NA,NA,311.78,0,12471.2,0
VT,4,418,9/24/22,2,0,10/10/22,0,4/6/23,buckhorn plantain,NA,NA,0.7,5/30/23,white campion,lambsquarters,shepherd's purse,0,23.7,0,948
VT,4,419,10/3/22,2.5,105,10/20/22,49,4/6/23,NA,NA,NA,69.25,5/30/23,NA,NA,NA,325.83,0,13033.2,0
VT,4,420,10/3/22,2.5,15,10/20/22,16,4/6/23,NA,NA,NA,32.22,5/30/23,shepherd's purse,NA,NA,251.87,0.2,10074.8,8
