site,year,block,plot,pd,pd_fac,rate,sample_date_standcounts,seedling_n,sample_date_groundcover,sp1_gc,sp2_gc,sp3_gc,canopy_cover,sample_date_anthesis,sp1,sp2,sp3,rye_g,weed_g,RCI_weeds,rye_kg,weed_kg,GDD_greenup,GDD_anthesis,soil_n,soil_pH,soil_p,soil_OM,rate.r
BARC,2022,1,101,oct4,1,0,10/19/21,0,3/8/22,VERPG,LAMAM,VICVI,64.96,5/11/22,VICVI,CAPBP,dock,0,107.3,0,0,4292,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,2,215,oct4,1,0,10/19/21,0,3/8/22,STEME,LAMAM,VERPG,51.98,5/11/22,CAPBP,THLAR,STEME,0,74.9,0,0,2996,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,3,308,oct4,1,0,10/19/21,0,3/8/22,LAMAM,LAMPU,STEME,61.07,5/11/22,VICVI,CAPBP,THLAR,0,113.1,0,0,4524,1327.16,2138.35,13.901,6.58,63,2.38,0
BARC,2022,1,107,oct21,2,0,11/6/21,0,3/8/22,LAMAM,VERPG,CAPBP,45.63,5/11/22,CAPBP,VICVI,VIOAR,0,58.4,0,0,2336,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,2,203,oct21,2,0,11/6/21,0,3/8/22,LAMAM,unknown,VERPG,42.38,5/11/22,CAPBP,THLAR,STEME,0,60.3,0,0,2412,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,3,316,oct21,2,0,11/6/21,0,3/8/22,unknown 2,VERPG,THLAR,49.38,5/11/22,CAPBP,THLAR,VICVI,0,88.8,0,0,3552,880.43,1691.62,25.0335,6.53,56,2.38,0
BARC,2022,1,115,nov10,3,0,12/3/21,0,3/8/22,LAMAM,VERPG,unknown,34.32,5/11/22,VICVI,CAPBP,VERPG,0,66.9,0,0,2676,594.16,1405.35,10.971,6.91,76,1.52,0
BARC,2022,2,207,nov10,3,0,12/3/21,0,3/8/22,LAMAM,unknown,na,13.77,5/11/22,LAMAM,CAPBP,STEME,0,25.2,0,0,1008,594.16,1405.35,10.971,6.91,76,1.52,0
BARC,2022,3,305,nov10,3,0,12/3/21,0,3/8/22,VERPG,STEME,LAMPU,64.24,5/11/22,VICVI,THLAR,CAPBP,0,148.9,0,0,5956,594.16,1405.35,10.971,6.91,76,1.52,0
CT,2023,1,3,9/29/22,1,0,10/18/22,0,4/13/23,na,na,na,0.2,5/23/23,STEME,PLAMA,TRFPR,0,3.2,0,0,128,925.08,1493.70,15.8,6.23,87,3.86,0
CT,2023,1,10,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.23,5/23/23,TRFPR,VERAR,AMBEL,0,14.2,0,0,568,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,1,15,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.3,5/23/23,AMBEL,STEME,PLAMA,0,12.3,0,0,492,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,2,20,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.3,5/23/23,POLPE,STEME,AMBEL,0,3.9,0,0,156,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,2,30,9/29/22,1,0,10/18/22,0,4/13/23,STEME,na,na,1.12,5/23/23,STEME,TRFPR,POLPE,0,26.2,0,0,1048,925.08,1493.70,15.8,6.23,87,3.86,0
CT,2023,2,31,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.29,5/23/23,TRFPR,STEME,CHEAL,0,10.1,0,0,404,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,3,38,10/31/22,3,0,11/17/22,0,4/13/23,na,na,na,0.28,5/24/23,TRFPR,VERSE,POLPE,0,13.9,0,0,556,552.86,1121.48,29.05,6.02,85,3.76,0
CT,2023,3,48,10/13/22,2,0,11/3/22,0,4/13/23,na,na,na,0.36,5/24/23,VERSE,CHEAL,Prickly Lettuce,0,10,0,0,400,768.56,1337.18,19.6,6.2,85,3.94,0
CT,2023,3,53,9/29/22,1,0,10/18/22,0,4/13/23,na,na,na,0.39,5/24/23,TRFPR,VERSE,STEME,0,10.7,0,0,428,925.08,1493.70,15.8,6.23,87,3.86,0
DE,2022,1,106,10/13/22,1,0,11/10/21,0,3/29/22,ERPVE,LAMAM,STEME,3,5/12/22,na,na,na,0,na,na,0,na,1369.683519,2006.690112,na,na,na,na,0
